accident_id,city,state,latitude,longitude,date,time,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,festival,risk_score
0,Pune,Maharashtra,18.680827,73.930388,22-10-2023,05:00,5,Sunday,1,highway,3,1,fog,low,32,high,weather,fatal,2,2,0,None,0.85
1,Mumbai,Maharashtra,18.817732,72.790846,21-05-2023,04:00,4,Sunday,1,urban,4,0,clear,high,34,low,weather,major,4,3,0,None,0.1
2,Mumbai,Maharashtra,19.096889,72.819424,10-07-2024,13:00,13,Wednesday,0,urban,3,0,fog,low,21,medium,weather,minor,1,1,0,None,0.45
3,Chandigarh,Punjab,30.787805,76.847507,30-03-2025,11:00,11,Sunday,1,urban,1,1,fog,low,30,high,distraction,minor,5,2,0,None,0.65
4,Chennai,Tamil Nadu,12.965155,80.283313,25-01-2024,16:00,16,Thursday,0,highway,3,1,clear,high,24,low,distraction,minor,2,1,0,None,0.1
5,Delhi,Delhi,28.79949,77.049666,29-07-2024,08:00,8,Monday,0,urban,5,1,clear,high,36,high,overspeeding,fatal,4,4,1,None,0.65
6,Bangalore,Karnataka,13.064327,77.530941,24-03-2025,06:00,6,Monday,0,highway,3,0,clear,high,33,high,drunk driving,minor,4,4,0,None,0.3
7,Chandigarh,Punjab,30.786617,76.733947,07-05-2023,14:00,14,Sunday,1,urban,3,1,clear,high,25,low,weather,major,3,0,0,None,0.1
8,Hyderabad,Telangana,17.422447,78.464881,25-02-2022,03:00,3,Friday,0,urban,1,0,rain,low,22,low,poor road,minor,1,0,0,None,0.45
9,Bangalore,Karnataka,12.939033,77.498966,31-03-2024,04:00,4,Sunday,1,rural,3,1,clear,high,23,low,weather,minor,1,0,0,None,0.1
10,Chandigarh,Punjab,30.651926,76.876892,23-03-2022,13:00,13,Wednesday,0,highway,1,1,fog,low,34,medium,poor road,minor,3,3,0,None,0.45
11,Bangalore,Karnataka,12.936802,77.469957,27-01-2022,02:00,2,Thursday,0,urban,5,1,rain,medium,33,low,drunk driving,minor,2,0,0,None,0.25
12,Mumbai,Maharashtra,19.132036,72.76057,28-11-2023,09:00,9,Tuesday,0,highway,5,1,rain,low,17,medium,weather,major,4,1,1,None,0.6
13,Pune,Maharashtra,18.532452,73.841799,25-03-2024,08:00,8,Monday,0,highway,6,0,rain,low,40,medium,overspeeding,major,5,2,1,Holi,0.7
14,Chandigarh,Punjab,30.721892,76.711388,09-02-2025,18:00,18,Sunday,1,urban,5,1,rain,medium,23,high,overspeeding,major,4,0,1,None,0.6
15,Chandigarh,Punjab,30.772308,76.768413,18-03-2024,08:00,8,Monday,0,rural,1,0,clear,high,23,high,drunk driving,minor,4,4,1,None,0.45
16,Hyderabad,Telangana,17.382285,78.551704,03-08-2023,11:00,11,Thursday,0,urban,6,0,rain,low,20,low,overspeeding,major,5,3,0,None,0.45
17,Chennai,Tamil Nadu,13.161404,80.197819,26-09-2023,21:00,21,Tuesday,0,urban,1,1,fog,low,30,medium,distraction,fatal,5,5,0,None,0.65
18,Hyderabad,Telangana,17.570411,78.310647,14-08-2024,18:00,18,Wednesday,0,urban,4,1,fog,low,21,high,distraction,fatal,1,1,1,None,1
19,Chandigarh,Punjab,30.629812,76.765481,04-02-2024,02:00,2,Sunday,1,urban,5,1,fog,low,36,low,poor road,minor,2,0,0,None,0.45
20,Kolkata,West Bengal,22.459848,88.361745,04-11-2022,01:00,1,Friday,0,highway,6,1,fog,low,30,low,drunk driving,fatal,5,5,0,None,0.65
21,Kolkata,West Bengal,22.692541,88.209956,09-12-2023,00:00,0,Saturday,1,urban,3,0,fog,low,25,medium,weather,minor,4,1,0,None,0.45
22,Bangalore,Karnataka,12.911401,77.624696,06-08-2024,03:00,3,Tuesday,0,urban,1,0,rain,low,26,medium,distraction,major,3,1,0,None,0.45
23,Chennai,Tamil Nadu,12.98416,80.153974,26-07-2023,23:00,23,Wednesday,0,urban,2,0,clear,high,36,medium,distraction,minor,3,2,0,None,0.1
24,Delhi,Delhi,28.528171,77.003017,26-03-2023,01:00,1,Sunday,1,highway,5,1,clear,high,29,high,drunk driving,minor,3,2,0,None,0.3
25,Delhi,Delhi,28.631253,77.168852,02-11-2022,14:00,14,Wednesday,0,highway,4,0,rain,low,32,high,overspeeding,major,1,0,0,None,0.65
26,Chennai,Tamil Nadu,12.964354,80.262971,11-10-2024,13:00,13,Friday,0,urban,6,0,clear,high,39,high,weather,major,1,1,0,None,0.3
27,Chennai,Tamil Nadu,13.171632,80.200311,05-09-2023,05:00,5,Tuesday,0,highway,4,1,rain,medium,29,high,weather,minor,1,1,0,None,0.45
28,Mumbai,Maharashtra,18.876038,72.816062,09-01-2024,08:00,8,Tuesday,0,rural,3,1,rain,medium,28,high,overspeeding,minor,1,1,1,None,0.6
29,Delhi,Delhi,28.494878,77.089734,08-04-2025,17:00,17,Tuesday,0,urban,6,0,fog,low,17,high,drunk driving,minor,4,0,1,None,0.8
30,Bangalore,Karnataka,13.181455,77.704682,21-05-2023,17:00,17,Sunday,1,rural,3,1,clear,high,36,high,distraction,minor,1,1,1,None,0.45
31,Mumbai,Maharashtra,19.277812,72.889938,31-12-2024,07:00,7,Tuesday,0,rural,6,0,clear,high,24,low,poor road,minor,3,1,0,None,0.1
32,Kolkata,West Bengal,22.644485,88.376914,11-10-2024,07:00,7,Friday,0,urban,6,1,fog,low,18,low,overspeeding,minor,5,4,0,None,0.45
33,Bangalore,Karnataka,13.007483,77.745779,09-10-2023,03:00,3,Monday,0,highway,1,0,rain,medium,23,medium,drunk driving,minor,4,4,0,None,0.25
34,Delhi,Delhi,28.767686,77.102505,02-06-2022,17:00,17,Thursday,0,rural,1,1,fog,low,27,medium,poor road,minor,5,2,1,None,0.6
35,Chandigarh,Punjab,30.79305,76.864728,21-12-2023,04:00,4,Thursday,0,highway,6,0,clear,high,35,low,overspeeding,minor,5,1,0,None,0.1
36,Delhi,Delhi,28.513789,77.26605,02-01-2024,14:00,14,Tuesday,0,rural,6,1,fog,low,24,high,drunk driving,minor,1,0,0,None,0.65
37,Chennai,Tamil Nadu,12.941766,80.271836,19-02-2023,18:00,18,Sunday,1,highway,5,1,clear,high,32,low,weather,fatal,4,4,1,None,0.45
38,Pune,Maharashtra,18.497326,73.919761,04-12-2023,06:00,6,Monday,0,rural,5,0,rain,medium,20,low,drunk driving,minor,2,1,0,None,0.25
39,Kolkata,West Bengal,22.568337,88.326718,02-09-2023,01:00,1,Saturday,1,rural,4,1,rain,medium,30,high,weather,minor,4,3,0,None,0.45
40,Mumbai,Maharashtra,18.945509,72.865677,19-11-2024,22:00,22,Tuesday,0,highway,5,1,rain,medium,40,high,distraction,minor,2,2,0,None,0.45
41,Chandigarh,Punjab,30.739178,76.722246,21-07-2023,09:00,9,Friday,0,urban,4,0,rain,medium,29,high,drunk driving,fatal,3,3,1,None,0.8
42,Hyderabad,Telangana,17.36441,78.442288,01-03-2022,22:00,22,Tuesday,0,urban,4,1,rain,medium,20,medium,overspeeding,major,1,0,0,None,0.25
43,Chennai,Tamil Nadu,13.174093,80.150346,13-01-2025,13:00,13,Monday,0,highway,2,1,clear,high,20,low,weather,minor,1,1,0,None,0.1
44,Chandigarh,Punjab,30.75772,76.718682,01-11-2022,00:00,0,Tuesday,0,rural,3,1,rain,medium,26,low,drunk driving,major,2,2,0,None,0.25
45,Bangalore,Karnataka,13.032625,77.614829,21-06-2024,09:00,9,Friday,0,urban,2,1,rain,medium,21,high,distraction,minor,1,1,1,None,0.6
46,Chandigarh,Punjab,30.774779,76.862232,11-04-2025,11:00,11,Friday,0,urban,6,1,rain,low,31,low,poor road,major,4,4,0,None,0.45
47,Delhi,Delhi,28.683622,77.273941,06-02-2023,15:00,15,Monday,0,rural,2,1,rain,medium,16,medium,poor road,major,3,3,0,None,0.25
48,Hyderabad,Telangana,17.384544,78.420669,23-05-2022,14:00,14,Monday,0,highway,4,0,rain,low,22,high,weather,major,2,0,0,None,0.65
49,Hyderabad,Telangana,17.217784,78.280672,23-12-2024,13:00,13,Monday,0,rural,3,1,fog,low,31,medium,distraction,major,2,2,0,None,0.45
50,Pune,Maharashtra,18.482992,73.944129,29-02-2024,09:00,9,Thursday,0,highway,2,1,clear,high,32,high,overspeeding,major,3,1,1,None,0.45
51,Hyderabad,Telangana,17.224481,78.470636,23-02-2023,07:00,7,Thursday,0,rural,3,1,fog,low,17,medium,drunk driving,major,2,2,0,None,0.45
52,Bangalore,Karnataka,12.863932,77.797043,21-07-2024,02:00,2,Sunday,1,urban,4,0,fog,low,15,low,drunk driving,major,1,0,0,None,0.45
53,Mumbai,Maharashtra,19.090552,72.9844,14-03-2023,21:00,21,Tuesday,0,rural,1,1,rain,low,29,medium,poor road,minor,3,0,0,None,0.45
54,Chandigarh,Punjab,30.790067,76.805399,30-09-2024,03:00,3,Monday,0,highway,5,1,rain,low,25,low,weather,major,3,1,0,None,0.45
55,Delhi,Delhi,28.502883,77.165457,17-11-2022,06:00,6,Thursday,0,urban,5,1,fog,low,32,medium,drunk driving,minor,3,3,0,None,0.45
56,Chandigarh,Punjab,30.774233,76.72531,07-09-2023,00:00,0,Thursday,0,urban,3,0,clear,high,40,low,distraction,major,2,1,0,None,0.1
57,Mumbai,Maharashtra,19.232608,72.869852,04-06-2023,06:00,6,Sunday,1,urban,6,0,fog,low,21,medium,weather,major,2,1,0,None,0.45
58,Chennai,Tamil Nadu,12.959773,80.153419,28-06-2022,02:00,2,Tuesday,0,urban,1,0,clear,high,31,low,overspeeding,minor,1,0,0,None,0.1
59,Chennai,Tamil Nadu,12.985135,80.226248,28-03-2025,23:00,23,Friday,0,rural,2,0,rain,low,25,high,overspeeding,fatal,4,4,0,None,0.85
60,Mumbai,Maharashtra,19.061169,72.872827,17-04-2024,14:00,14,Wednesday,0,urban,5,1,clear,high,19,low,poor road,minor,2,0,0,None,0.1
61,Delhi,Delhi,28.463133,76.976698,31-12-2024,09:00,9,Tuesday,0,rural,1,1,rain,medium,39,medium,distraction,major,1,0,1,None,0.4
62,Chennai,Tamil Nadu,12.852053,80.121615,13-05-2023,14:00,14,Saturday,1,urban,6,1,rain,medium,27,high,distraction,major,3,1,0,None,0.45
63,Chennai,Tamil Nadu,13.017299,80.224813,02-04-2024,00:00,0,Tuesday,0,rural,3,0,fog,low,26,low,overspeeding,major,4,1,0,None,0.45
64,Pune,Maharashtra,18.560997,73.811173,17-08-2024,23:00,23,Saturday,1,rural,2,1,fog,low,24,medium,drunk driving,major,2,2,0,None,0.45
65,Chennai,Tamil Nadu,12.97141,80.197487,11-12-2023,07:00,7,Monday,0,rural,4,1,rain,medium,18,high,drunk driving,major,1,0,0,None,0.45
66,Mumbai,Maharashtra,19.264702,72.886613,22-09-2022,10:00,10,Thursday,0,highway,1,1,clear,high,21,high,poor road,major,2,2,1,None,0.45
67,Mumbai,Maharashtra,18.811624,72.877651,27-02-2022,05:00,5,Sunday,1,rural,2,1,fog,low,17,high,drunk driving,minor,5,5,0,None,0.65
